id,lekwungen_word
206,ʔə́mət
207,ʔə́məttəŋs
208,ʔə́nəxʷ
209,ʔə́qʷiyəqʷ
210,ʔə́sə səw̓
211,ceʔe
212,ceʔə
213,cəw̓
214,cəw̓níɬ
215,cəw̓nəkʷíliyeʔ
216,cəw̓nəníʔɬiyeʔ
217,cəw̓x̣ləm
218,cx̣it
219,céʔənəŋ
220,céstən
221,cəʔéniŋ
222,cəlpəltxʷ
223,cəlíʔɬčə
224,cən
225,cəŋéʔɬ
226,cəŋéʔt
227,cəwx̣íləm (cox̣iləm)
228,c̓aʔkʷələč
229,c̓aʔq̓ʷ
230,c̓aləméen
231,c̓am̓
232,c̓aw̓
233,c̓eʔkʷə́sət
234,c̓eʔnəm
235,c̓ekʷétəŋ
236,c̓eq̓ʷət
237,c̓ew̓
238,c̓iʔíɬət sn̓ ʔə mək̓ʷ
239,c̓iʔít
240,c̓imen
241,c̓iqt
242,c̓kʷas
243,c̓kʷásəŋ
244,c̓kʷésət
245,c̓ɬx̣éʔem
246,c̓ɬáŋəsət
247,c̓qʷál̕əčə
248,c̓q̓ʷŋəsə́t
249,c̓q̓ʷítəŋ
250,c̓q̓ʷítəŋ
251,c̓x̣ey̓t
252,c̓x̣ə́ŋən
253,c̓áʔɬəŋ
254,c̓áʔməŋ
255,c̓ákʷəs
256,c̓ákʷəs néč̓əw̓əč
257,c̓ákʷəs sčəlénəŋ
258,c̓ámʔəl̓
259,c̓ám̓ənčən
260,c̓áŋəs
261,c̓áqʷəŋ
262,c̓áq̓ʷəŋ
263,c̓á́kʷəɬšéʔ
264,c̓éʔc̓eʔ
265,c̓éʔkʷət
266,c̓éʔət
267,c̓éčəlləʔ
268,c̓éleʔ
269,c̓éq̓ʷət
270,c̓íʔit
271,c̓íŋəl̓
272,c̓ísən
273,c̓íxʷəŋ
274,c̓əʔkʷetəlxʷ
275,c̓əʔkʷsénəŋ
276,c̓əʔkʷsísəŋ
277,c̓əʔkʷéqʷəŋ
278,c̓əkʷésət
279,c̓əkʷəlkʷə́təŋ
280,c̓ək̓ʷáʔmaʔ
281,c̓əlc̓ə́stəŋ
282,c̓əlm̓č̓iyi
283,c̓əlx̣ʷəm̓ə́čən
284,c̓əm̓éen
285,c̓əpsiyásən
286,c̓əq̓ʷnistən
287,c̓əwʔ
288,c̓əxʷʔkʷəs
289,c̓əxʷʔkʷəs ʔiʔ kʷ čəsə
290,c̓əxʷʔkʷəs ʔiʔ kʷ nəc̓ə
291,c̓əx̣tənitəŋ
292,c̓əyə
293,c̓ə́mč̓iyi
294,c̓ə́ŋətəŋ
295,c̓ə́ŋ̓əɬ
296,c̓ə́ŋ̓ət
297,c̓ə́q̓əŋ
298,c̓ə́x̣c̓əx̣
299,ččéʔey
300,čč̓ə́məqʷ
301,čeʔči
302,čeʔek̓
303,čeʔyənc̓
304,čeɬ
305,čeɬ
306,čen ʔəw̓ kʷɬsʔéləxʷ
307,čeqʷəŋin
308,čeq̓
309,čeq̓s
310,čex̣ʷ
